"file","rows","source","source_url","frozen_on","license","note"
"tuik_life_table.csv",606,"TurkStat (TUIK) Life Tables 2023-2025","https://veriportali.tuik.gov.tr/tr/press/58232","2026-08-24","TÜİK published table; source attribution and portal terms apply","Population period life table; not an insured-life pricing table."
"life_expectancy_education.csv",108,"TurkStat (TUIK) Life Tables 2023-2025","https://veriportali.tuik.gov.tr/tr/press/58232","2026-08-24","TÜİK published table; source attribution and portal terms apply","Supplementary population life-expectancy table."
"healthy_life_expectancy.csv",57,"TurkStat (TUIK) Life Tables 2023-2025","https://veriportali.tuik.gov.tr/tr/press/58232","2026-08-24","TÜİK published table; source attribution and portal terms apply","Supplementary healthy-life-expectancy table."
"auto_claims.csv",6776,"insuranceData 1.0","https://CRAN.R-project.org/package=insuranceData","2026-08-24","insuranceData package GPL-2; original dataset attribution retained","Historical teaching data; PAID renamed claim_amount. Week 2 needs faults to clean, and AutoClaims has none, so missingness is INJECTED by three distinct mechanisms with set.seed(5109) - age MAR on class (599, 8.8%), gender MCAR (297, 4.4%), claim_amount MNAR on the top decile (133, 2.0%) - plus 1 negative, 1 zero and 3 duplicated rows. Rates were chosen by criterion, not taste: each column's complete-case bias is at least three standard errors, row-level incompleteness reaches 14.7% (993 of 6776, which is what justifies multiple imputation), and no column exceeds 10%, and the header is rewritten to Claim No/State/CLASS/Gender/Age/Claim Amount - none of this is in the source. The claim_no key is assigned BEFORE the copies, which separates three duplicate cases: duplicated(rows)=2 exact copies, duplicated(claim_no)=3 adding one key collision with a conflicting age (95/59), duplicated(profile)=11 - and that third number is NOT the one the copies predict. The copies and the source's own 3 same-profile pairs account for only 4 of it, which is exactly the counter measured among complete rows; the other 7 are manufactured by the missingness injection itself, because blanking a field makes two rows that differed only there identical. Running distinct() over the profile would therefore delete 7 genuinely different records."
"auto_claims_truth.csv",6773,"insuranceData 1.0","https://CRAN.R-project.org/package=insuranceData","2026-09-01","insuranceData package GPL-2; original dataset attribution retained","Pre-injection claim amounts, one row per claim_no. Read ONLY by Week 2's MNAR section, which states outright that this column does not exist in real life: the loss can be measured only because we caused it. Not a data source - a teaching instrument."
"auto_bi.csv",1340,"insuranceData 1.0","https://CRAN.R-project.org/package=insuranceData","2026-09-01","insuranceData package GPL-2; original dataset attribution retained","Historical bodily-injury claims, Week 2 LAB data. Deliberately a different file from the note's, so the lab transfers the skills instead of repeating the example. NOTHING is injected: the 306 missing values across clmage/seatbelt/clminsur/marital/clmsex are real, 249 of 1340 rows (18.6%) are incomplete, casenum is a genuine unique key, and 13 rows are identical on every column except that key. Column names are the source names lowercased; their meanings and integer codings belong in the data dictionary, not in invented names."
"data_car.csv",67856,"insuranceData 1.0","https://CRAN.R-project.org/package=insuranceData","2026-08-24","insuranceData package GPL-2; original dataset attribution retained","Historical teaching data; unused X_OBSTAT_ field removed."
"danishuni.csv",2167,"fitdistrplus danishuni","https://CRAN.R-project.org/package=fitdistrplus","2026-08-24","fitdistrplus package GPL (>= 2); original dataset attribution retained","Historical Copenhagen Re fire losses; loss is in million DKK."
"canlifins_sample.csv",2000,"CASdatasets canlifins 1.2-1","https://dutangc.github.io/CASdatasets/reference/canlifins.html","2026-08-24","CASdatasets package GPL (>= 2); original dataset attribution retained","Deterministic 2,000-row simple random teaching sample; time is attained exit age and event=0 is right-censored."
"genins_long.csv",55,"ChainLadder GenInsLong","https://CRAN.R-project.org/package=ChainLadder","2026-08-24","ChainLadder package GPL (>= 2); original dataset attribution retained","Published cumulative run-off triangle in long format."
